PID,CCD DUR,PROSE DUR,WRITING DUR,neutral_ccd,lemon_ccd,fish_ccd,neutral_prose,lemon_prose,fish_prose,neutral_writing,lemon_writing,fish_writing
593,1504637,750742,2372580,900420,1504637,814036,523113,750742,750742,1487295,2372580,1794842
675,814036,750742,1794842,883241,880632,757507,725265,515852,650562,2065151,1654487,1623470
681,757507,650562,1623470,1328263,1244886,1418779,779467,650194,686890,1573252,2160087,1349984
477,900420,523113,1487295,1829971,896841,1191827,1107584,605049,885087,1884344,2120132,1591363
484,883241,725265,2065151,1142911,598492,1399334,727152,473512,681920,1533909,1357319,1567732
446,1328263,779467,1573252,1087071,878815,849655,802056,610557,932712,1369019,1713301,1318376
620,1418779,686890,1349984,745420,800043,1299010,414324,869390,684248,2183212,752695,1648522
629,1191827,885087,1591363,882233,715813,1153407,501398,646706,759732,1208311,1548195,1553108
616,1399334,681920,1567732,751224,1044952,1168343,558041,680604,904978,1523458,1555689,1471813
430,1829971,1107584,1884344,757341,846699,1759220,604834,790089,714081,1483873,2594270,1866399
660,849655,932712,1318376,,,,,,,,,
632,1299010,684248,1648522,,,,,,,,,
659,1153407,759732,1553108,,,,,,,,,
462,1142911,727152,1533909,,,,,,,,,
572,880632,515852,1654487,,,,,,,,,
588,1244886,650194,2160087,,,,,,,,,
536,896841,605049,2120132,,,,,,,,,
591,598492,473512,1357319,,,,,,,,,
553,878815,610557,1713301,,,,,,,,,
421,1087071,802056,1369019,,,,,,,,,
443,745420,414324,2183212,,,,,,,,,
488,882233,501398,1208311,,,,,,,,,
418,751224,558041,1523458,,,,,,,,,
648,1168343,904978,1471813,,,,,,,,,
493,757341,604834,1483873,,,,,,,,,
601,1759220,714081,1866399,,,,,,,,,
540,800043,869390,752695,,,,,,,,,
513,715813,646706,1548195,,,,,,,,,
546,1044952,680604,1555689,,,,,,,,,
584,846699,790089,2594270,,,,,,,,,
